topic,subfolder,filename,ext,name_pattern,stage,varname_col,ncols,header,error,relpath
law_enforcement,lawenf_1990-2022,nanda_lawenf_Tract20_1990-2022_dictionary_formatted.xlsx,.xlsx,*_dictionary.xlsx,publish,variable,8,variable | type | obs | unique | mean | min | max | label,,law_enforcement\lawenf_1990-2022\documentation\nanda_lawenf_Tract20_1990-2022_dictionary_formatted.xlsx
law_enforcement,lawenf_1990-2022,nanda_lawenf_Zcta10_1990-2022_dictionary.csv,.csv,*_dictionary.csv,publish,variable,8,variable | type | obs | unique | mean | min | max | label,,law_enforcement\lawenf_1990-2022\documentation\nanda_lawenf_Zcta10_1990-2022_dictionary.csv
law_enforcement,lawenf_1990-2022,nanda_lawenf_Zcta10_1990-2022_dictionary_formatted.xlsx,.xlsx,*_dictionary.xlsx,publish,variable,8,variable | type | obs | unique | mean | min | max | label,,law_enforcement\lawenf_1990-2022\documentation\nanda_lawenf_Zcta10_1990-2022_dictionary_formatted.xlsx
law_enforcement,lawenf_1990-2022,nanda_lawenf_Zcta20_1990-2022_dictionary.csv,.csv,*_dictionary.csv,publish,variable,8,variable | type | obs | unique | mean | min | max | label,,law_enforcement\lawenf_1990-2022\documentation\nanda_lawenf_Zcta20_1990-2022_dictionary.csv
law_enforcement,lawenf_1990-2022,nanda_lawenf_Zcta20_1990-2022_dictionary_formatted.xlsx,.xlsx,*_dictionary.xlsx,publish,variable,8,variable | type | obs | unique | mean | min | max | label,,law_enforcement\lawenf_1990-2022\documentation\nanda_lawenf_Zcta20_1990-2022_dictionary_formatted.xlsx
law_enforcement,lawenf_tract_2003-2017,nanda_lawenf_tract_2003-2017_01_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,8,Variable | Type | Obs | Unique | Mean | Min | Max | Label,,law_enforcement\lawenf_tract_2003-2017\documentation\nanda_lawenf_tract_2003-2017_01_data_dictionary.xlsx
law_enforcement,lawenf_zcta_2003-2017,nanda_lawenf_zcta_2003-2017_01_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,8,Variable | Type | Obs | Unique | Mean | Min | Max | Label,,law_enforcement\lawenf_zcta_2003-2017\documentation\nanda_lawenf_zcta_2003-2017_01_data_dictionary.xlsx
libraries,libraries_1992-2020,nanda_libraries_Tract10_1992-2021_01_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,8,Variable | Type | Obs | Unique | Mean | Min | Max | Label,,libraries\libraries_1992-2020\documentation\nanda_libraries_Tract10_1992-2021_01_data_dictionary.xlsx
libraries,libraries_1992-2020,nanda_libraries_Tract10_1992-2021_02_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,8,Variable | Type | Obs | Unique | Mean | Min | Max | Label,,libraries\libraries_1992-2020\documentation\nanda_libraries_Tract10_1992-2021_02_data_dictionary.xlsx
libraries,libraries_1992-2020,nanda_libraries_Tract20_1992-2021_01_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,8,Variable | Type | Obs | Unique | Mean | Min | Max | Label,,libraries\libraries_1992-2020\documentation\nanda_libraries_Tract20_1992-2021_01_data_dictionary.xlsx
libraries,libraries_1992-2020,nanda_libraries_ZCTA10_1992-2021_01_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,8,Variable | Type | Obs | Unique | Mean | Min | Max | Label,,libraries\libraries_1992-2020\documentation\nanda_libraries_ZCTA10_1992-2021_01_data_dictionary.xlsx
libraries,libraries_1992-2020,nanda_libraries_ZCTA20_1992-2021_01_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,8,Variable | Type | Obs | Unique | Mean | Min | Max | Label,,libraries\libraries_1992-2020\documentation\nanda_libraries_ZCTA20_1992-2021_01_data_dictionary.xlsx
liquor_tobacco_convenience,lqtbcan_tractZCTA_1990-2022,validate_lqtbcan_Tract10_1990-2022_2026-03-26_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,validate,Variable,3,Variable | Type | Label,,liquor_tobacco_convenience\lqtbcan_tractZCTA_1990-2022\code\validate_lqtbcan_Tract10_1990-2022_2026-03-26_data_dictionary.xlsx
liquor_tobacco_convenience,lqtbcan_tractZCTA_1990-2022,validate_lqtbcan_Tract20_1990-2022_2026-03-26_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,validate,Variable,3,Variable | Type | Label,,liquor_tobacco_convenience\lqtbcan_tractZCTA_1990-2022\code\validate_lqtbcan_Tract20_1990-2022_2026-03-26_data_dictionary.xlsx
